[총 레벨]	[작업]	<작업도움말풍선>	<작업성공말풍선>	<작업단계>	<작업레벨>	<성장치획득량>	<이슬획득량>	<도구가격>	<작업아이콘>	<작업애니메이션>	<작업도움애니메이션>
1	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	1	1	30.0	100	200	0	0	0
2	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	1	2	40.0	120	250	0	0	0
3	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	1	3	50.0	140	300	0	0	0
4	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	1	4	60.0	160	350	0	0	0
5	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	1	5	70.0	180	400	0	0	0
6	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	1	6	80.0	200	450	0	0	0
7	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	1	7	90.0	220	500	0	0	0
8	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	1	8	100.0	240	550	0	0	0
9	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	1	9	110.0	260	600	0	0	0
10	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	1	10	120.0	280	650	0	0	0
11	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	2	1	530.0	1100	2750	1	1	1
12	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	2	2	540.0	1120	2850	1	1	1
13	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	2	3	550.0	1140	2950	1	1	1
14	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	2	4	560.0	1160	3050	1	1	1
15	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	2	5	570.0	1180	3150	1	1	1
16	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	2	6	580.0	1200	3250	1	1	1
17	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	2	7	590.0	1220	3350	1	1	1
18	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	2	8	600.0	1240	3450	1	1	1
19	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	2	9	610.0	1260	3550	1	1	1
20	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	2	10	620.0	1280	3650	1	1	1
21	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	3	1	1030.0	2100	16100	2	2	2
22	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	3	2	1040.0	2120	16200	2	2	2
23	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	3	3	1050.0	2140	16300	2	2	2
24	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	3	4	1060.0	2160	16400	2	2	2
25	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	3	5	1070.0	2180	16500	2	2	2
26	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	3	6	1080.0	2200	16600	2	2	2
27	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	3	7	1090.0	2220	16700	2	2	2
28	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	3	8	1100.0	2240	16800	2	2	2
29	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	3	9	1110.0	2260	16900	2	2	2
30	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	3	10	1120.0	2280	17000	2	2	2
31	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	4	1	1530.0	3100	23100	3	3	3
32	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	4	2	1540.0	3120	23200	3	3	3
33	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	4	3	1550.0	3140	23300	3	3	3
34	Watering	오잉? 물이 안 나와?!	헤헤, 이제 잘 나오네~ 고마워!	4	4	1560.0	3160	23400	3	3	3
