[총 레벨]	[작업]	<작업도움말풍선>	<작업성공말풍선>	<작업단계>	<작업레벨>	<성장치획득량>	<이슬획득량>	<도구가격>	<작업아이콘>	<작업애니메이션>	<작업도움애니메이션>
1	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	1	1	330.0	700	1700	0	0	0
2	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	1	2	340.0	720	1750	0	0	0
3	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	1	3	350.0	740	1800	0	0	0
4	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	1	4	360.0	760	1850	0	0	0
5	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	1	5	370.0	780	1900	0	0	0
6	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	1	6	380.0	800	1950	0	0	0
7	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	1	7	390.0	820	2000	0	0	0
8	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	1	8	400.0	840	2050	0	0	0
9	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	1	9	410.0	860	2100	0	0	0
10	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	1	10	420.0	880	2150	0	0	0
11	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	2	1	830.0	1700	13100	1	1	1
12	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	2	2	840.0	1720	13200	1	1	1
13	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	2	3	850.0	1740	13300	1	1	1
14	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	2	4	860.0	1760	13400	1	1	1
15	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	2	5	870.0	1780	13500	1	1	1
16	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	2	6	880.0	1800	13600	1	1	1
17	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	2	7	890.0	1820	13700	1	1	1
18	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	2	8	900.0	1840	13800	1	1	1
19	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	2	9	910.0	1860	13900	1	1	1
20	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	2	10	920.0	1880	14000	1	1	1
21	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	3	1	1330.0	2700	21100	2	2	2
22	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	3	2	1340.0	2720	21200	2	2	2
23	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	3	3	1350.0	2740	21300	2	2	2
24	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	3	4	1360.0	2760	21400	2	2	2
25	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	3	5	1370.0	2780	21500	2	2	2
26	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	3	6	1380.0	2800	21600	2	2	2
27	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	3	7	1390.0	2820	21700	2	2	2
28	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	3	8	1400.0	2840	21800	2	2	2
29	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	3	9	1410.0	2860	21900	2	2	2
30	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	3	10	1420.0	2880	22000	2	2	2
31	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	4	1	1830.0	3700	26100	3	3	3
32	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	4	2	1840.0	3720	26200	3	3	3
33	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	4	3	1850.0	3740	26300	3	3	3
34	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	4	4	1860.0	3760	26400	3	3	3
35	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	4	5	1870.0	3780	26500	3	3	3
36	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	4	6	1880.0	3800	26600	3	3	3
37	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	4	7	1890.0	3820	26700	3	3	3
38	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	4	8	1900.0	3840	26800	3	3	3
39	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	4	9	1910.0	3860	26900	3	3	3
40	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	4	10	1920.0	3880	27000	3	3	3
41	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	5	1	2330.0	4700	31100	4	4	4
42	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	5	2	2340.0	4720	31200	4	4	4
43	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	5	3	2350.0	4740	31300	4	4	4
44	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	5	4	2360.0	4760	31400	4	4	4
45	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	5	5	2370.0	4780	31500	4	4	4
46	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	5	6	2380.0	4800	31600	4	4	4
47	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	5	7	2390.0	4820	31700	4	4	4
48	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	5	8	2400.0	4840	31800	4	4	4
49	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	5	9	2410.0	4860	31900	4	4	4
50	Scissor	어디를 잘라야 하지...?	더 보기 좋게 됐네! 고마워~	5	10	2420.0	4880	32000	4	4	4
